Audit Reference Number,VAR-20241007-TW-05A01-1
,
Question #,VAP-B1.2
Question Text,"Occupational health & safety hazards are identified, assessed, and mitigated using the Hierarchy of Controls, which includes
eliminating, substituting, and controlling through proper design, process and administrative controls, and appropriate Personal
Protective Equipment (PPE) which is consistently and correctly used."
Rating,Conformance
Conclusion,"Occupational health & safety hazards are identified, assessed, and mitigated using the Hierarchy of Controls, which includes
eliminating, substituting, and controlling through proper design, process and administrative controls, and appropriate Personal
Protective Equipment (PPE) which is consistently and correctly used."
Data points,"* Site observation: a) Engineering controls are used where appropriate. b) Buildings are structurally sound. c) Confined spaces
are identified. d) Stairways and elevated work areas are provided with appropriate guardrails and handrails and elevated work
platforms are rated for load capacity. e) Aisles, stairways, and work areas are free of tripping hazards (stored materials, electrical
cords) f) Workers are provided with appropriate fall protection for work in elevated work areas. g) Buildings are facilitated with
tie-off points to provide workers with safe anchor points if they need to attach a harness. h) Precautions and controls of electrical
hazards are in place, locked cabinets, closed panels, unobstructed access. i) Energized parts are protected from accidental contact
by enclosures and barriers and all protective methods are in place and not deficient. j) In areas where powered industrial vehicles
are used, pedestrian walkways are clearly delineated and physically separated, where possible, from vehicle operation areas
Effective pest control. k) Anyone who works or resides in an area for a period longer than exposure limit value that require PPE
do so appropriate for the given hazard. l) PPE (including ERT PPE) is available. m) PPE (including ERT PPE) is adequate in
good and working condition. n) PPE is appropriately stored and accessible. o) ERT PPE storage is clearly marked, visible and
easily accessible.
* Record review: 2 out of 2 risk mitigation evaluation reports covering the period October 2023 to September 2024 confirm a)
Each hierarchy level has been fully evaluated. b) Reasons why the risk could not be addressed fully before proceeding to the next
hierarchal level.
* Record review: 10 out of 10 OHS inspection reports covering the period October 2023 to September 2024 confirm a) Process
and administrative controls are in place and effective. b) A safety inspection is performed daily. c) A safety inspection is
performed prior to each use for all industrial-powered vehicles.
* Record review: 2 out of 2 confined space entry evaluation reports covering the period October 2023 to September 2024 confirm
evaluation is done before workers can enter.
* Record review: 4 out of 4 hot work permits covering the period October 2023 to September 2024 confirm a) Evaluation is done
before workers weld, braze and cut. b) Space is safe for welding.
* Record review: 10 out of 10 electrical installations and wiring inspection reports covering the period October 2023 to
September 2024 confirm a) Electrical installations and wiring inspections are performed regularly. b) Electrical installations and
wiring are maintained to prevent electrical shock hazards.
* Record review: 10 out of 10 Lockout/tag out reports covering the period October 2023 to September 2024 confirm a) Lockout/
tag out program is in place for work on equipment with stored energy. b) Lockout/tag out program is in place for inadvertent start-
ups which could injure workers. c) Work on equipment with stored energy or equipment with inadvertent start-ups is safe.
* Record review: 10 out of 10 pest control logs covering the period October 2023 to September 2024 confirm pest control
program: a) Is adequate. b) Is effective.
* Record review: 10 out of 10 PPE selection and adequacy evaluation records covering the period October 2023 to September
2024 confirm PPE used is adequate.
* Record review: 10 out of 10 PPE inventory and replacement records covering the period October 2023 to September 2024
confirm a) PPE can be replaced when needed. b) PPE is in stock.
* Record review: 10 out of 10 PPE inspection records covering the period October 2023 to September 2024 confirm a) PPE is in
good condition. b) PPE is used correctly.
* Record review: 2 out of 2 Respiratory protection equipment fit test records covering the period October 2023 to September
2024 confirm: a) PPE is in good condition. b) PPE is used correctly.
* Record review: Job specific PPE matrix (Doc. No: Nil, Rev. Nil, Issue date: 07 August 2024) is a) Available and b) Consistent
with the c) Job hazard and d) PPE evaluation results.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-B1.3
Question Text,"Gender-responsive measures are taken to ensure pregnant women and nursing mothers are not in working conditions, which
could be hazardous to them or their child, and provide reasonable accommodations for nursing mothers."
Rating,Conformance
Conclusion,"Gender-responsive measures are taken to ensure pregnant women and nursing mothers are not in working conditions, which
could be hazardous to them or their child, and provide reasonable accommodations for nursing mothers."
Data points,"* Site observation: a) Pregnant workers are not working in a job that is hazardous to the pregnant worker and her child. b)
Nursing mothers are not working in a job that is hazardous to the worker and her child. c) Reasonable accommodations for
nursing mothers are in place. c.a) A place, other than a bathroom, which may be used to express breast milk. c.b) Shielded from
view. c.c) Free from intrusion from co-workers and the public.
* Record review: 3 out of 3 personnel files of pregnant workers and nursing mothers covering the period October 2023 to
September 2024 confirm pregnant workers and nursing mothers are only assigned to jobs safe for them.
* Record review: 3 out of 3 working hour records of nursing mothers covering each month of the period of November 2023
(random month), March 2024 (random month) and May 2024 (random month) confirm nursing mothers can have reasonable time
to express milk.
* Record review: Instructions on maternity protection management (Doc. No.: B3600-0063, Rev. M, issued date: 11 June 2024)
demonstrate a) The controls to minimize the risks identified in pre-, during, and post-natal risk assessments are a.a) Adequate a.b)
Effective.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Worker interview: 20 out of 20 workers (including 1 pregnant worker and 1 nursing mother) confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
B2) EMERGENCY PREPAREDNESS,
Question #,VAP-B2.1
Question Text,"Adequate and effective fire detection, alarm and suppression systems are in place"
Rating,Conformance
Conclusion,"Adequate and effective fire detection, alarm and suppression systems are in place."
Data points,"* Site observation: a) Automatic heat detection as required by local law. b) Smoke detection as required by local law. c) Detector
devices and systems are functioning and well maintained. d) All buildings have an automatic fire alarm system. e) All buildings
have an automatic notification system. f) Fire alarm control system is free of trouble and supervisory signals. g) Fire alarm
manual call-points is provided along egress routes to exits. h) Portable fire extinguishers are installed, with unimpeded access and
inspection tags. i) automatic fire sprinklers as required by local law. j) Fire hoses with unimpeded access and inspection tags. k)
Fire water tank and water pressure are normal. l) Asbestos-containing fire-suppression materials are not present.
* Record review: 12 out of 12 fire safety equipment inspection reports covering the period October 2023 to September 2024
confirm a) inspection frequency for portable fire extinguishers is monthly. b) inspection frequency for single-unit fire detectors is
every 6 months. c) inspection frequency for all other fire safety equipment is not less than yearly. d) all fire safety equipment is in
good working condition.
* Record review: 12 out of 12 fire safety equipment test records covering the period October 2023 to September 2024 confirm a)
test frequency is not less than yearly. b) all fire safety equipment is in good working condition.
* Record review: 12 out of 12 maintenance records covering the period October 2023 to September 2024 confirm a) test
frequency is not less than yearly. b) all fire safety equipment is in good working condition.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-B2.2
Question Text,Effective emergency preparedness and response programs (plans/process) are established
Rating,Conformance
Conclusion,Effective emergency preparedness and response programs (including plans and process) are established.
Data points,"* Site observation: a) Combustible storage is minimized and limited to areas with adequate fire detection and protection. b)
Flammable and combustible materials are properly stored. b.a) to prevent the accumulation of vapors. b.b) Ignition hazards are
eliminated in areas where combustible and flammable materials. b.b.a) Are stored. b.b.b) Are used. b.b.c) If there is a flammable
atmosphere.
* Record review: Operational disruption risk assessment procedure (Doc. No: B0000-2516, Rev. B, Issue date: 26 April 2023) a)
Is adequate. b) Is current. c) Is available.
* Record review: Business Resumption Plan (Doc. No: Nil, Rev. Nil, Issue date: 26 April 2023) a) Is adequate. b) Is current. c) Is
available.
* Record review: Emergency response procedure (Doc. No.: B0000-2507, Rev. X, issued date: 11 June 2024) a) Is adequate. b)
Is current. c) Is available. d) Contains contact information for emergency responders. e) Reflects the risk assessment.
* Record review: Post-emergency plan (Doc. No: Nil, Rev. Nil, Issue date: 12 March 2024) a) Is adequate. b) Is current. c) Is
available.
* Record review: 2 out of 2 incident reports covering the period October 2023 to September 2024 demonstrate a) An incident
report is available for each incident. b) It includes root cause investigation. c) It includes corrective actions.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-B2.3
Question Text,"Effective emergency exit access, exits, and exit discharge are adequate in number and location, readily accessible, and properly
maintained"
Rating,Conformance
Conclusion,"Effective emergency exit access, exits, and exit discharge are adequate in number and location, readily accessible, and properly
maintained."
Data points,"* Site observation: a) Clear and unobstructed egress. a.a) An adequate number of effective exit routes from every area a.b) Exit
routes are separated by an appropriate distance and do not share a common exit. a.c) Exit routes are clear of obstructions. a.d)
Exit discharges discharge to open space, and do not discharge to an enclosed area. a.e) Exits are free of material storage, and
enclosures are not used for any other purpose except for egress. a.f) All exit route doors which serve high occupancy (=>50) or
hazardous areas, open in the direction of egress. a.g) All Exit Route doors open without using a key, badge, code, special
knowledge, or effort. a.h) All Exit Discharge doors are a single-motion exit. a.i) All Exit Discharge doors have listed panic
hardware installed which is pushed open in a single motion. b) Exit signs are provided to mark exits on every floor. c) Exit signs
are illuminated and lighted in the event of a power failure. d) Additional exit and directional signs are provided at main
passageways and aisles, long corridors and other locations where the way to the nearest exit is unclear. e) Emergency lighting
provided and installed to illuminate means of egress in the event of a power failure. f) Lighting provided adequate, functional
emergency lighting in stairs, aisles, corridors, ramps, and passageways leading to exits, and in other areas as required by
applicable laws. g) Battery power emergency lighting. h) Penetrations are limited to sprinkler pipes, standpipes, and electrical
services, pipe and duct installation serving the enclosures. i) Openings into the enclosures are protected by fire-rated doors. j)
Fire doors are in good condition, self-closing (upon fire alarm or detection of smoke). k) Integrity of exit enclosures is
maintained. l) Muster points have been established in safe locations to enable employee accountability during an emergency. m)
Muster points are both inside (tornado/extreme weather shelter-in-place) and outside (fire, chemical release). n) Emergency
response kits are easily located and accessible near muster points.
* Record review: 10 out of 10 emergency support equipment inspection records covering the period October 2023 to September
2024 demonstrate emergency support facilities: a) are available for emergency lighting. b) are available for emergency exit signs.
c) are available for evacuation paths. d) are available for exit enclosures. e) are inspected as per local practice.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-B2.4
Question Text,Adequate and effective fire and other identified emergency evacuation drills are conducted with all workers and people on site
Rating,Conformance
Conclusion,Adequate and effective fire and other identified emergency evacuation drills are conducted with all workers and people on site.
Data points,"* Record review: Emergency response procedure (Doc. No.: B0000-2507, Rev. X, issued date: 11 June 2024) a) Is adequate. b)
Is effective. c) Includes all workers. d) Includes every area (dormitory, cafeteria, warehouse, office areas, production floors,
research and development laboratories, shipping/receiving). e) Requires drills are executed at least annually. f) Includes all work
shifts. g) Includes one drill that is conducted while it is dark outside. h) Other identified emergency drill frequency meets the risk
assessment requirements.
* Record review: 2 out of 2 emergency evacuation drill reports covering the period October 2023 to September 2024 demonstrate
the evacuation drill: a) Includes all workers. b) Includes every area. c) Requires drills are executed at least annually. d) Includes
all work shifts. e) Includes one drill that is conducted while it is dark outside. f) Other identified emergency drill frequency meets
the risk assessment requirements.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
B3) OCCUPATIONAL INJURY AND ILLNESS,
Question #,VAP-B3.1
Question Text,"Work-related accidents, near-misses, and illnesses are reported, tracked, accurate, investigated, and analyzed, and workers are not
in situations that can cause them imminent harm."
Rating,Conformance
Conclusion,"Work-related accidents, near-misses, and illnesses are reported, tracked, accurate, investigated, and analyzed, and workers are not
in situations that can cause them imminent harm."
Data points,"* Site observation: a) Workers are not in situations that can cause imminent harm. b) Areas that can cause imminent harm to
workers are free of workers. b.a) Are signed. b.b) Access is restricted.
* Record review: 4 out of 4 OHS incident reports covering the period October 2023 to September 2024 include a) All reportable
accidents. b) All non-reportable accidents. c) All incidents. d) All near misses. e) Recordings are accurate. f) Occupational illness
data. g) Surveillance data. h) Recordings are current.
* Record review: 4 out of 4 OHS incident investigation reports covering the period October 2023 to September 2024 demonstrate
a) All accidents are investigated. b) All incidents are investigated. c) All accidents are analyzed to minimize the potential for
future occurrence. d) All incidents are analyzed to minimize the potential for future occurrence.
* Record review: 4 out of 4 OHS trend analysis reports covering the period October 2023 to September 2024 demonstrate a)
Trend analysis of the occupational injuries is performed at least annually. b) Trend analysis of the occupational illnesses data is
performed at least annually.
* Record review: No imminent harm report is available as no imminent harm instance happens.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-B3.2
Question Text,Adequate first response equipment and first aid kits to provide medical treatment for injured or ill workers are available
Rating,Conformance
Conclusion,Adequate first response equipment and first aid kits to provide medical treatment for injured or ill workers are available.
Data points,"* Site observation: a) Assigned first aid kits are available in designated locations. b) Assigned first aid kits are appropriate. c)
Assigned first aid kits are completely stocked. d) First aid kits are unlocked. e) First response equipment is available in
designated locations. f) First response equipment is appropriate. g) First response equipment is well maintained. h) Occupational
medical clinic (infirmary) is adequately staffed. i) Occupational medical clinic (infirmary) is supplied to respond to injuries. j)
Alternative resources outside medical services are communicated to workers. k) No asbestos blankets are used.
* Record review: 5 out of 5 First Aid, First Response kits and First Response equipment inventory lists covering the period
October 2023 to September 2024 demonstrate a) First Aid, First Response kits and First Response equipment have an inventory
list. b) First Aid, First Response kits and First Response equipment inventory inspection frequency is at least monthly. c) First
Aid, First Response kits and First Response equipment have adequate supplies.
* Record review: 5 out of 5 First Aid, First Response kits and First Response equipment inspection records covering the period
October 2023 to September 2024 demonstrate a) Inspection tracking records are available. b) Inspection tracking records are up
to date. c) Frequency is at least monthly for all inspections.
* Record review: In-house infirmary operations log (Doc. No: Nil, Rev. Nil, Issue date: 18 September 2024) a) Is available. b) Is
up to date. c) States supplies are available. d) States supplies are adequate. e) Confirms supplies are inspected.
* Record review: Medical clinic operations log (Doc. No: Nil, Rev. Nil, Issue date: 24 September 2024) reveals the onsite
emergency occupational medical clinic log is available and up to date.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Worker interview: 20 out of 20 workers (including 2 nurses, no doctor in the facility) confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
B4) INDUSTRIAL HYGIENE,
Question #,VAP-B4.1
Question Text,"Workers' exposures to chemical, biological, and physical hazards are identified, evaluated, and adequately controlled in
accordance with the hierarchy of controls, which is maintained through ongoing, systematic monitoring of worker's health."
Rating,Conformance
Conclusion,"Workers’ exposures to chemical, biological, and physical hazards are identified, evaluated, and adequately controlled in
accordance with the hierarchy of controls, which is maintained through ongoing, systematic monitoring of worker’s health."
Data points,"* Site observation: a) Chemicals are adequately and effectively categorized. b) Chemicals are adequately and effectively handled.
c) Chemicals are adequately and effectively stored. d) Chemicals are adequately and effectively moved within a single facility. e)
Chemicals are adequately and effectively access controlled. f) Chemicals are adequately and effectively segregated. g) Chemicals
have adequate and effective secondary containment. h) Chemicals have adequate and effective ventilation. i) Chemicals have
adequate and effective fire protection. j) Chemicals have adequate and effective storage cabinets. k) Adequate and effective
engineering controls to reduce or eliminate worker exposure to chemical agents are in place. l) Adequate and effective
engineering controls to reduce or eliminate worker exposure to biological agents are in place. m) Adequate and effective
engineering controls to reduce or eliminate worker exposure to physical agents are in place. n) Workplace is free from obvious
odor. o) Workplace is free from visible fumes. p) Workplace is free from dust. q) Workplace is free from other conditions leading
to potential unhealthy feelings. r) Monitoring equipment is: r.a) Available. r.b) Well-maintained. r.c) Calibrated. r.d) Operational.
* Record review: 10 out of 10 chemical inventory records covering the period October 2023 to September 2024 a) Are accurate.
b) Are maintained. c) Are up to date.
* Record review: ESH risk assessment procedure (Doc. No.: B0000-2501, Rev. O, issued date: 16 October 2023) a) Details how
to control the identified potential hazards to chemical agents. b) Details how to control the identified potential hazards to
biological agents. c) Details how to control the identified potential hazards to physical agents. d) is adequate. e) is effective. f)
demonstrates process and administrative controls are in place.
* Record review: Instructions on ESH management for gases and chemicals (Doc. No.: B3600-0037, Rev. P, issued date: 24
August 2023) a) Is adequate. b) Is effective. c) Details how to track the use of all hazardous chemicals. d) Details how to review
the use of all hazardous chemicals. e) Details how to approve the use of all hazardous chemicals. f) Details how to approve the
purchase of hazardous chemicals. g) Details how to approve all new purchases of hazardous chemicals prior to use. h) Details
how to evaluate chemicals for less hazardous or non-hazardous alternatives, including Greenhouse Gas and Ozone Depletion
impact. h.a) includes Greenhouse Gas impact. h.b) includes Ozone Depletion impact.
* Record review: 10 out of 10 hazardous chemical inspection records covering the period October 2023 to September 2024
demonstrate records a) Are maintained for all hazardous substances. b) Are maintained for all hazardous substances' points of
use. c) Are maintained for all hazardous substances' points of storage. d) Are accurate. e) Show Process and administrative
controls are effective. f) Define the process to track the use of all hazardous chemicals is adequate and effective.
* Record review: 10 out of 10 hazardous substances manifests and shipping papers covering the period October 2023 to
September 2024 demonstrate a) chemical inventory records are accurate. b) Inspection records of hazardous substances and their
points of storage and use are accurate. c) process to track and approve the use of all hazardous chemicals is adequate and
effective.
* Record review: 10 out of 10 approvals for the purchase of hazardous chemicals covering the period October 2023 to September
2024 demonstrate a) Approvals for the purchase of hazardous chemicals and for all new purchases of hazardous chemicals prior
to use. b) Evaluations of chemicals of less hazardous or non-hazardous alternatives, including Greenhouse Gas and ozone
depletion impact, are implemented. c) The process to track, review, and approve the use of all hazardous chemicals is adequate
and effective. d) The process and administrative controls are effective. e) The process to track and approve the use of all
hazardous chemicals is adequate and effective.
* Record review: 10 out of 10 hazardous chemicals evaluations covering the period October 2023 to September 2024
demonstrate a) Evaluations of chemicals of less hazardous or non-hazardous alternatives, including Greenhouse Gas and ozone
depletion impact, are implemented. b) The process to track, review, and approve the use of all hazardous chemicals is adequate
and effective. c) The process and administrative controls are effective. d) The process to track and approve the use of all
hazardous chemicals is adequate and effective.
* Record review: 10 out of 10 maintenance logs for monitoring equipment covering the period October 2023 to September 2024
are: a) Available. b) Complete. c) Accurate. d) Up-to-date.
* Record review: 2 out of 2 calibration logs for monitoring equipment covering the period October 2023 to September 2024 are:
a) Available. b) Complete. c) Accurate. d) Up-to-date.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
B5) PHYSICALLY DEMANDING WORK,
Question #,VAP-B5.1
Question Text,Worker exposure to the hazards of physically demanding work is controlled effectively
Rating,Conformance
Conclusion,Worker exposure to the hazards of physically demanding work is controlled effectively.
Data points,"* Site observation: a) Adequate engineering controls to reduce physically demanding work are in place. b) Adequate engineering
controls to reduce physically demanding work are effective.
* Record review: Instructions on ergonomic hazards prevention management (Doc. No.: B3600-0061, Rev. G, issued date: 05
July 2024) states the details of the program: a) To control the identified potential hazards to physically demanding work. b)
Follows the hierarchy of controls. c) The requirement to regularly verify the effectiveness of implemented controls. d) It
encourages and responds to early reporting of discomfort.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
B6) MACHINE SAFEGUARDING,
Question #,VAP-B6.1
Question Text,"An adequate and effective machine-safeguarding program is implemented, and workers operate machinery safely."
Rating,Conformance
Conclusion,"An adequate and effective machine-safeguarding program is implemented, and workers operate machinery safely."
Data points,"* Site observation: a) All machines have adequate emergency stops. b) All machines have adequate safeguards. c) All workers
operate machines safely.
* Record review: 5 out of 5 work instructions covering the period October 2023 to September 2024 demonstrate a) They are
available at the machine. b) The process and administrative controls are in place and effective. c) They are in a language
understood by the worker.
* Record review: 5 out of 5 safe machine operation records covering the period October 2023 to September 2024 demonstrate
records a) Are available at the machine. b) detail the process and administrative controls are in place and effective. c) Are in a
language understood by the worker.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
"B7) FOOD, SANITATION AND HOUSING",
Question #,VAP-B7.1
Question Text,"Worker housing is clean, safe and well-maintained and meet international housing standards"
Rating,Not Applicable
Conclusion,
Data points,
,
Question #,VAP-B7.2
Question Text,"Bathrooms, employee spaces, cafeterias, food areas are safe, clean, well maintained, and well managed"
Rating,Conformance
Conclusion,"Bathrooms, employee spaces, cafeterias, food areas are safe, clean, well maintained, and well managed."
Data points,"* Site observation: a) Bathrooms are clean. b) Bathrooms are well maintained. c) Employee spaces are clean. d) Employee spaces
are well maintained. e) Prayer or religious areas are clean. f) Prayer or religious areas are well maintained. g) Cafeterias and food
areas are clean. h) Cafeterias and food areas are well maintained. i) Bathrooms are provided with adequate hand washing
facilities. j) Cafeterias and food areas are provided with adequate hand washing facilities. k) Food service workers wear masks,
hairnets and gloves to prevent food contamination. l) Food storage and preparation areas are clean. m) Food is stored properly. n)
Raw and cooked food stored separately. o) Food is kept covered. p) Food is used or disposed of before the marked expiration
date.
* Record review: Factory kitchen operation management specifications (Doc. No.: 9920-3413, Rev. D, issued date: 01 October
2022) states the detail of the cleaning and sanitation program a) Is adequate. b) Is effective. c) The process and administrative
controls are in place. d) The process and administrative controls are effective.
* Record review: 10 out of 10 Food handling and hygiene inspection reports covering the period October 2023 to September
2024 demonstrate: a) Inspections are regular. b) Food handling is safe. c) Food preparation is safe. d) Hygiene meets
requirements. e) They are available. f) They are up to date. g) The process and administrative controls are in place. h) The
process and administrative controls are effective.
* Record review: 10 out of 10 sanitation records covering the period October 2023 to September 2024 demonstrate records a)
Are available. b) Are up to date. c) Detail the process and administrative controls are in place. d) Detail the process and
administrative controls are effective.
* Record review: 10 out of 10 maintenance records covering the period October 2023 to September 2024 demonstrate a) They
are available. b) They are up to date. c) The process and administrative controls are in place. d) The process and administrative
controls are effective.
* Record review: Procedure of rented apartment is not needed as rented apartment is not available.
* Record review: Rented apartment risk assessment is not needed as rented apartment is not available.
* Record review: 2 out of 2 pest control logs covering the period October 2023 to September 2024 confirm pest control program:
a) Is adequate. b) Is effective.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
B.M.1) RISK ASSESSMENT,
Question #,VAP-B.M.1.1
Question Text,"An adequate and effective Occupational Health and Safety compliance process is established to monitor, identify, understand,
and ensure compliance with applicable laws, regulations, and customer requirements."
Rating,Conformance
Conclusion,"An adequate and effective Occupational Health and Safety compliance process is established to monitor, identify, understand,
and ensure compliance with applicable laws, regulations, and customer requirements."
Data points,"* Record review: ESH regulations identification and inspection management procedure (Doc. No.: B0000-2501, Rev. O, issued
date: 16 October 2023) states a) Compliance procedure: a.a) Is adequate. a.b) Is effective. a.c) Quarterly review: a.d) Including
applicable legal requirements. a.e) Including applicable customer requirements. to a.f.a) Identify. a.f.b) Track. a.f.c) Assess. a.f.d)
Integrate. a.f.e) Implement. a.f.f) Record. b) To ensure timely renewal before the expiration of: b.a) Permits. b.b) Licenses. b.c)
Testing reports.
* Record review: Health & safety compliance calendar (Doc. No: Nil, Rev. Nil, Issue date: 04 September 2024) confirms the
compliance calendar: a) Is accurate. b) Is up to date. c) Includes applicable legal requirements. d) Includes applicable customer
requirements. e) Has a reminder system.
* Record review: Health & safety compliance register (Doc. No: Nil, Rev. Nil, Issue date: 26 August 2024) confirms the
compliance register: a) Is accurate. b) Is up to date. c) Has summaries of applicable laws and regulations. d) Contains reviews of
the key customer requirements that impact the operations as these related to the RBA code.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-B.M.1.2
Question Text,"An adequate and effective due diligence process is established to identify and assess the most significant actual and potential
occupational health and safety risks where the facility caused or contributed to adverse occupational health and safety impacts
(including applicable requirements)."
Rating,Conformance
Conclusion,"An adequate and effective due diligence process is established to identify and assess the most significant actual and potential
occupational health and safety risks where the facility caused or contributed to adverse occupational health and safety impacts
(including applicable requirements)."
Data points,"* Record review: Stakeholder identification procedure (Doc. No.: Nil, Rev. Nil, issued date: 17 April 2024) states the process
which is a) Adequate. b) Effective for c) Internal stakeholders. d) External stakeholders for occupational health and safety.
* Record review: Internal and external stakeholder list for occupational health and safety (Doc. No: Nil, Rev. Nil, Issue date: 17
April 2024) which includes all identified internal and external stakeholders including at a minimum: a) Direct and indirect
workers. b) No young workers. c) No foreign migrant workers. No internal migrant workers. d) Worker representatives. e) Staff
functions. f) On-site service providers. g) Suppliers. h) Customers. i) Stakeholders immediately neighboring the auditee. j)
Women workers after pregnancy is reported. k) Women workers returning to work after giving.
* Record review: ESH risk assessment procedure (Doc. No.: B0000-2501, Rev. O, issued date: 16 October 2023) states a) risk
assessment procedure that: a.a) Is adequate. a.b) Is effective. a.c) Each identified risk has an action to minimize such risk through
the Hierarchy of Controls. a.d) identify the most significant risks. a.d.a) including applicable legal requirements. a.d.b) including
applicable customer requirements. a.e) The risk assessment is updated when there is a Significant Change. b) Scope of the risk
assessment: b.a) Every task. b.b) Every site operation/process. b.c) Every Physical location. c) Specific requirement elements:
c.a) Harm to life. c.b) Property. c.c) Fire. c.d) Chemical spill. c.e) Earthquake. c.f) Severe weather. c.g) Workplace violence. c.h)
Strike. c.i) Asbestos / lead. c.k) Chemical, biological, or physical agents: c.k.a) Based on associated industrial hygiene sampling
and testing. c.k.b) Risk assessment must include exposure to multiple chemicals. c.l) Pregnant workers and nursing mothers:
c.l.a) Before a pregnancy is reported: general risk assessment (potential hazards to expecting mothers). c.l.b) After pregnancy is
reported: a worker-specific risk assessment of the worker's job to assess risk to mother and fetes. c.l.c) After mother returns to
work: a worker-specific post-natal risk assessment of the worker's job to assess risk to mother and possible impacts on the baby
through breastfeeding. d) All identified internal and external stakeholders d.a) Direct and indirect workers. d.b) No young
workers. d.c) No foreign migrant workers. No internal migrant workers. d.d) Worker representatives. d.e) Staff functions. d.f) On-
site service providers. d.g) Suppliers. d.h) Customers. d.i) Stakeholders immediately neighboring the auditee.
* Record review: 5 out of 5 health & safety risk assessments covering each month of the period October 2023 to September 2024
a Are accurate. b) Are complete. c) Are up-to-date. d) Each identified risk has an action to minimize such risk through the
Hierarchy of Controls e) Identify the most significant risks. e.a) Including applicable legal requirements. e.b) Including
applicable customer requirements. f) The risk assessment is updated when there is a Significant Change. g) Scope of the risk
assessment: g.a) Every task. g.b) Every site operation/process. g.c) Every Physical location. h) Specific requirement elements:
h.a) Harm to life. h.b) Property. h.c) Fire. h.d) Chemical spill. h.e) Earthquake. h.f) Severe weather. h.g) Workplace violence.
h.h) Strike. h.i) Asbestos / lead. h.k) Chemical, biological, or physical agents. i) All identified internal and external stakeholders:
i.a) Direct and indirect workers. i.b) No young workers. i.c) No foreign migrant workers. No internal migrant workers. i.d)
Worker representatives. i.e) Staff functions. i.f) On-site service providers. i.g) Suppliers. i.h) Customers. i.i) Stakeholders
immediately neighboring the auditee.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Supporting evidence reference(s): N/A"
,
B.M.2) CONTROL PROCESSES,
Question #,VAP-B.M.2.1
Question Text,"Occupational health and safety responsibilities and authorities are adequately and effectively defined and assigned for all
employee levels (senior managers to workers) for the implementation of management systems, and for compliance with laws,
regulations, and codes."
Rating,Conformance
